name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
san francisco,2015-07-15,24.3,16,18.9,24.3,16,18.9,13.6,72,0,0,0,,,,37.1,25.9,288.2,1011.9,48.1,15.9,336.4,28.9,10,,2015-07-15T05:59:43,2015-07-15T20:31:14,1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72585093228,KSFO,72493023230,KHWD,KOAK,72494023234"
san francisco,2015-07-16,23.5,15.9,18.6,23.5,15.9,18.6,13.9,75.2,0.413,100,4.17,rain,,,40.7,27.3,320.5,1012.4,48.2,15.8,354.4,30.6,10,,2015-07-16T06:00:25,2015-07-16T20:30:42,0,"Rain, Partially cloudy",Clearing in the afternoon with afternoon rain.,rain,"72585093228,KSFO,72493023230,KHWD,KOAK,72494023234"
san francisco,2015-07-17,23,15.9,18.4,23,15.9,18.4,13.6,74.3,0,0,0,,,,,31.5,304.2,1010.5,59.5,15.9,352.4,30.5,10,,2015-07-17T06:01:08,2015-07-17T20:30:09,0.01,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72585093228,KSFO,72493023230,KHWD,KOAK,72494023234"
san francisco,2015-07-18,23.6,15.7,19.2,23.6,15.7,19.2,12.7,67.7,0,0,0,,,,37.1,26.7,280.6,1012.9,44,15.9,334.7,28.9,10,,2015-07-18T06:01:52,2015-07-18T20:29:33,0.03,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"72585093228,KSFO,72493023230,KHWD,KOAK,72494023234"
san francisco,2015-07-19,30.2,17.3,22.1,29.5,17.3,22,13.4,59.2,0,0,0,,,,47.9,26.1,293.5,1017.1,66.4,16,190.8,16.5,7,,2015-07-19T06:02:37,2015-07-19T20:28:56,0.06,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72585093228,KSFO,72493023230,KHWD,KOAK,72494023234"
san francisco,2015-07-20,25,17,21.5,25,17,21.5,14.5,65.2,0,0,0,,,,27.7,27.4,292.4,1015.7,45.7,16,252.5,21.9,7,,2015-07-20T06:03:22,2015-07-20T20:28:17,0.09,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72585093228,KSFO,72493023230,KHWD,KOAK,72494023234"
san francisco,2015-07-21,20.9,15.7,17.6,20.9,15.7,17.6,13.5,77.6,0,0,0,,,,47.9,31.4,272.9,1013.1,75.2,15.8,330.8,28.6,10,,2015-07-21T06:04:08,2015-07-21T20:27:37,0.13,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72585093228,KSFO,72493023230,KHWD,KOAK,72494023234"
san francisco,2015-07-22,19.6,16,17.4,19.6,16,17.4,12.5,73,0,0,0,,,,47.4,34.5,259.8,1011.8,71.9,15.3,334.5,28.7,10,,2015-07-22T06:04:55,2015-07-22T20:26:55,0.17,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72585093228,KSFO,72493023230,KHWD,KOAK,72494023234"
san francisco,2015-07-23,19.7,15.9,17.3,19.7,15.9,17.3,12.1,72.1,0,0,0,,,,50.1,31.3,253.1,1015.7,73.9,15.7,321.3,27.7,10,,2015-07-23T06:05:42,2015-07-23T20:26:11,0.22,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72585093228,KSFO,72493023230,KHWD,KOAK,72494023234"
san francisco,2015-07-24,22.6,15.1,18.3,22.6,15.1,18.3,12,67.8,0,0,0,,,,53.6,33.5,272.5,1019.1,45.5,16,342.6,29.8,10,,2015-07-24T06:06:29,2015-07-24T20:25:26,0.27,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72585093228,KSFO,72493023230,KHWD,KOAK,72494023234"
san francisco,2015-07-25,20.3,15.5,16.9,20.3,15.5,16.9,13,78.1,0,0,0,,,,51.8,30.6,272.7,1018.4,78.4,16,347.6,30.1,10,,2015-07-25T06:07:17,2015-07-25T20:24:39,0.31,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72585093228,KSFO,72493023230,KHWD,KOAK,72494023234"
san francisco,2015-07-26,22,15.9,18.1,22,15.9,18.1,12.9,72.3,0,0,0,,,,114.8,26.7,261.7,1014.4,51.7,15.8,344,29.7,10,,2015-07-26T06:08:05,2015-07-26T20:23:50,0.36,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"72585093228,KSFO,72493023230,KHWD,KOAK,72494023234"
san francisco,2015-07-27,26.6,14,19.4,26.6,14,19.4,12.3,66,0,0,0,,,,50,30.8,295.2,1013.4,4.7,15.4,349.7,30.3,10,,2015-07-27T06:08:54,2015-07-27T20:23:00,0.41,Clear,Clear conditions throughout the day.,clear-day,"72585093228,KSFO,72493023230,KHWD,KOAK,72494023234"
san francisco,2015-07-28,30.6,14,21.5,29.5,14,21.4,12.3,58.9,0,0,0,,,,,26.4,302.7,1011.5,13.2,15.6,349.6,30.3,10,,2015-07-28T06:09:43,2015-07-28T20:22:08,0.44,Clear,Clear conditions throughout the day.,clear-day,"72585093228,KSFO,72493023230,KHWD,KOAK,72494023234"
san francisco,2015-07-29,25.8,15.4,19.9,25.8,15.4,19.9,14,70.2,0,0,0,,,,,29,310.7,1012.6,12.9,15.5,343.9,29.7,10,,2015-07-29T06:10:33,2015-07-29T20:21:15,0.47,Clear,Clear conditions throughout the day.,clear-day,"72585093228,KSFO,72493023230,KHWD,KOAK,72494023234"
